rank,Youtuber, subscribers , video views ,Country,Abbreviation,channel_type,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
595,Canal IN,"16,100,000","2,687,443,643",Brazil,BR,Entertainment,"$3,500 ","$55,200 ","$41,400 ","$662,500 "
596,TWICE,"16,100,000","5,055,576,881",unknown,unknown,Music,"$24,700 ","$394,900 ","$296,200 ","$4,700,000 "
597,Daily Dose Of Internet,"16,100,000","6,872,702,790",United States,US,Entertainment,"$100,000 ","$1,600,000 ","$1,200,000 ","$19,200,000 "
598,FitDance,"16,100,000","7,126,210,721",France,FR,Entertainment,$0 ,$3 ,$2 ,$37 
599,Panda Shorts,"16,100,000","7,155,736,006",Sweden,SE,Sports,"$119,600 ","$1,900,000 ","$1,400,000 ","$23,000,000 "
600,Disney Junior,"16,100,000","15,812,009,296",United States,US,Entertainment,"$66,800 ","$1,100,000 ","$801,400 ","$12,800,000 "
601,La Rosa de Guadalupe,"16,100,000","9,642,146,451",Mexico,MX,Games,$0 ,$0 ,$0 ,$0 
602,sagar kalra (Shorts),"16,000,000","6,543,629,679",unknown,unknown,People,"$18,500 ","$296,200 ","$222,200 ","$3,600,000 "
603,wifistudy,"16,000,000","3,018,032,423",India,IN,Education,"$3,600 ","$57,100 ","$42,900 ","$685,800 "
604,Antrax,"16,000,000","3,029,872,908",Mexico,MX,Games,"$1,200 ","$18,800 ","$14,100 ","$225,500 "
605,Enes Batur,"16,000,000","9,786,595,271",unknown,unknown,Games,$0 ,$0 ,$0 ,$0 
606,Totoy kids - Espaï¿½ï,"16,000,000","5,997,599,089",Mexico,MX,Film,"$28,100 ","$449,600 ","$337,200 ","$5,400,000 "
607,ýýýýýýýýýý,"15,900,000","1,845,329,502",Russia,RU,Games,$0 ,$0 ,$0 ,$0 
608,DopeLyrics,"15,900,000","9,962,188,084",United States,US,Music,"$2,500 ","$39,700 ","$29,700 ","$475,900 "
609,jeffreestar,"15,900,000","2,609,358,468",United States,US,Howto,$502 ,"$8,000 ","$6,000 ","$96,300 "
610,Lyna,"15,900,000","6,534,326,412",Argentina,AR,Games,"$16,000 ","$256,300 ","$192,300 ","$3,100,000 "
611,MK MUSIC,"15,900,000","9,198,986,881",Brazil,BR,Music,"$34,100 ","$545,600 ","$409,200 ","$6,500,000 "
612,Unspeakable,"15,900,000","9,052,367,553",United States,US,People,"$41,200 ","$659,600 ","$494,700 ","$7,900,000 "
613,Camilo,"15,900,000","6,802,382,479",Colombia,CO,Music,"$15,000 ","$239,600 ","$179,700 ","$2,900,000 "
614,Dear Sir,"15,800,000","1,349,288,771",India,IN,Education,"$6,000 ","$96,200 ","$72,200 ","$1,200,000 "
615,Narendra Modi,"15,800,000","3,392,918,989",India,IN,News,"$46,500 ","$743,900 ","$557,900 ","$8,900,000 "
616,Arif muhammad,"15,800,000","4,122,634,467",Indonesia,ID,Comedy,"$18,000 ","$287,500 ","$215,600 ","$3,400,000 "
617,Rotten Tomatoes Trailers,"15,800,000","13,116,313,599",United States,US,Film,"$6,400 ","$103,000 ","$77,200 ","$1,200,000 "
618,Volga Video,"15,700,000","9,787,697,838",India,IN,Entertainment,"$12,800 ","$205,300 ","$153,900 ","$2,500,000 "
619,DM - Desi Melodies,"15,700,000","5,914,071,870",India,IN,Music,"$35,500 ","$567,400 ","$425,500 ","$6,800,000 "
620,MY FAMILY,"15,700,000","6,153,495,609",Singapore,SG,People,$235 ,"$3,800 ","$2,800 ","$45,100 "
621,Team Films Bhojpuri,"15,700,000","6,626,563,508",India,IN,Music,"$7,700 ","$123,000 ","$92,200 ","$1,500,000 "
622,Zee Music Classic,"15,700,000","5,558,051,295",India,IN,Music,"$21,600 ","$345,800 ","$259,300 ","$4,100,000 "
623,Prime Video India,"15,700,000","8,696,631,898",United States,US,Entertainment,"$83,800 ","$1,300,000 ","$1,000,000 ","$16,100,000 "
624,Caeli YT,"15,600,000","1,511,794,214",Mexico,MX,Entertainment,$0 ,$0 ,$0 ,$0 
625,Kuplinov ï¿½ï¿½ï¿,"15,600,000","6,862,529,416",unknown,unknown,Games,"$24,700 ","$394,600 ","$296,000 ","$4,700,000 "
626,Linus Tech Tips,"15,600,000","7,172,386,509",Canada,CA,Tech,"$22,100 ","$352,900 ","$264,700 ","$4,200,000 "
627,Juliana Baltar,"15,600,000","3,869,457,097",Brazil,BR,Entertainment,"$14,100 ","$224,900 ","$168,700 ","$2,700,000 "
628,5-Minute Crafts FAMILY,"15,600,000","6,165,757,696",United States,US,Howto,"$6,800 ","$109,500 ","$82,100 ","$1,300,000 "
629,Blippi Espaï¿½ï,"15,500,000","8,984,089,026",Mexico,MX,Education,"$22,500 ","$360,000 ","$270,000 ","$4,300,000 "
630,Super Senya,"15,500,000","5,070,970,714",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
631,Katakit Baby TV,"15,500,000","6,386,271,870",Saudi Arabia,SA,Music,"$22,700 ","$363,700 ","$272,700 ","$4,400,000 "
632,Infobells Bangla,"15,500,000","7,776,706,184",India,IN,Education,"$42,000 ","$671,600 ","$503,700 ","$8,100,000 "
633,ýýýýýýýý ýý ýýýýýýýý,"15,500,000","8,265,129,639",Saudi Arabia,SA,Film,"$33,800 ","$540,100 ","$405,100 ","$6,500,000 "
634,Henrique e Juliano,"15,500,000","14,619,523,361",Brazil,BR,Music,"$40,900 ","$654,700 ","$491,000 ","$7,900,000 "
635,Mr DegrEE,"15,500,000","12,880,388,253",United States,US,Entertainment,$0 ,$0 ,$0 ,$0 
636,Kashvi Adlakha,"15,500,000","12,714,141,740",India,IN,Entertainment,"$34,800 ","$556,500 ","$417,400 ","$6,700,000 "
637,Talking Tom & Friends,"15,500,000","6,396,049,701",United States,US,Film,"$6,800 ","$109,500 ","$82,100 ","$1,300,000 "
638,ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,"15,500,000","4,499,826,716",Egypt,EG,Howto,"$8,200 ","$131,700 ","$98,700 ","$1,600,000 "
639,Harsh Beniwal,"15,400,000","1,781,226,000",India,IN,Comedy,"$7,000 ","$111,900 ","$83,900 ","$1,300,000 "
640,FFUNTV,"15,400,000","11,513,738,907",United Arab Emirates,AE,Entertainment,"$20,000 ","$320,700 ","$240,500 ","$3,800,000 "
641,Mobile Legends: Bang Bang,"15,400,000","1,543,608,082",United States,US,Games,"$13,800 ","$221,500 ","$166,100 ","$2,700,000 "
642,Roman Atwood Vlogs,"15,400,000","5,469,103,954",United States,US,People,$396 ,"$6,300 ","$4,700 ","$76,000 "
643,Mrwhosetheboss,"15,400,000","3,736,069,980",United Kingdom,GB,Tech,"$41,900 ","$670,800 ","$503,100 ","$8,000,000 "
644,Genierock,"15,400,000","14,564,170,905",Thailand,TH,Music,"$20,700 ","$331,200 ","$248,400 ","$4,000,000 "
645,zayn,"15,400,000","4,909,687,948",United States,US,Music,"$9,200 ","$147,200 ","$110,400 ","$1,800,000 "
646,Kerajiunknown 5-Menit,"15,400,000","4,750,420,071",Indonesia,ID,Howto,"$4,900 ","$79,000 ","$59,200 ","$947,500 "
647,FC Barcelona,"15,300,000","2,656,528,205",Spain,ES,Sports,"$21,200 ","$339,500 ","$254,600 ","$4,100,000 "
648,Dave and Ava - Nursery Rhymes and Baby Songs,"15,300,000","10,714,145,606",United States,US,Education,"$19,300 ","$308,200 ","$231,200 ","$3,700,000 "
649,LOKESH GAMER,"15,300,000","1,640,078,055",India,IN,Games,"$1,500 ","$23,700 ","$17,800 ","$284,200 "
650,ILYA BORZOV,"15,300,000","9,938,811,455",Russia,RU,People,"$118,900 ","$1,900,000 ","$1,400,000 ","$22,800,000 "
651,Mazhavil Manorama,"15,300,000","16,545,966,132",India,IN,Entertainment,"$90,400 ","$1,400,000 ","$1,100,000 ","$17,400,000 "
652,Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"15,200,000","857,725,714",India,IN,Film,"$16,300 ","$261,500 ","$196,100 ","$3,100,000 "
653,The MriDul,"15,200,000","4,503,880,875",India,IN,Comedy,"$24,600 ","$393,300 ","$295,000 ","$4,700,000 "
654,Niana Guerrero,"15,200,000","1,491,452,935",Philippines,PH,Entertainment,"$2,500 ","$39,900 ","$29,900 ","$479,000 "
655,SRK MUSIC,"15,200,000","6,391,679,636",India,IN,Music,"$14,500 ","$231,200 ","$173,400 ","$2,800,000 "
656,Sony LIV,"15,200,000","7,151,683,497",India,IN,Entertainment,"$52,700 ","$843,600 ","$632,700 ","$10,100,000 "
657,T-Series Hamaar Bhojpuri,"15,200,000","7,564,652,648",India,IN,Music,"$26,500 ","$423,900 ","$317,900 ","$5,100,000 "
658,Oyuncak Avï¿,"15,200,000","8,333,387,785",Turkey,TR,Entertainment,"$1,100 ","$17,700 ","$13,300 ","$212,500 "
659,CNN,"15,200,000","14,198,154,095",United States,US,News,"$46,800 ","$748,000 ","$561,000 ","$9,000,000 "
660,NDTV India,"15,200,000","6,624,168,155",India,IN,News,"$12,400 ","$198,600 ","$149,000 ","$2,400,000 "
661,It's Mamix,"15,100,000","1,777,072,487",United States,US,People,"$4,000 ","$63,900 ","$48,000 ","$767,200 "
662,Kim Loaiza,"15,100,000","1,576,633,086",unknown,unknown,Music,"$6,500 ","$104,200 ","$78,200 ","$1,300,000 "
663,Daftar Populer,"15,100,000","2,143,140,898",Indonesia,ID,Entertainment,"$4,300 ","$68,900 ","$51,700 ","$827,100 "
664,Musas,"15,100,000","2,400,037,562",Andorra,AD,People,$0 ,$0 ,$0 ,$4 
665,Ranz Kyle,"15,100,000","1,760,131,384",Philippines,PH,Entertainment,"$3,100 ","$49,500 ","$37,100 ","$594,000 "
666,PowerfulJRE,"15,100,000","3,060,202,847",United States,US,People,"$10,900 ","$173,600 ","$130,200 ","$2,100,000 "
667,Mariale,"15,100,000","2,761,547,758",United States,US,Entertainment,"$3,000 ","$47,800 ","$35,900 ","$573,900 "
668,Makiman131,"15,100,000","4,236,036,141",Spain,ES,Entertainment,"$1,500 ","$23,900 ","$17,900 ","$286,600 "
669,Hongyu ASMR ï¿½ï¿½,"15,100,000","4,967,784,343",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
670,Mohamed Ramadan I ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,"15,100,000","5,324,913,850",Egypt,EG,Entertainment,"$11,500 ","$184,200 ","$138,200 ","$2,200,000 "
671,EdisonPts,"15,100,000","6,668,507,856",Russia,RU,Games,"$23,900 ","$382,400 ","$286,800 ","$4,600,000 "
672,BIGBANG,"15,100,000","7,857,371,770",South Korea,KR,Music,"$10,200 ","$163,200 ","$122,400 ","$2,000,000 "
673,Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"15,100,000","9,477,021,288",Argentina,AR,Comedy,"$128,100 ","$2,000,000 ","$1,500,000 ","$24,600,000 "
674,ABS-CBN News,"15,100,000","10,489,367,372",Philippines,PH,News,"$45,400 ","$726,600 ","$544,900 ","$8,700,000 "
675,Chapitosiki,"15,100,000","13,897,932,103",Russia,RU,Entertainment,"$178,400 ","$2,900,000 ","$2,100,000 ","$34,200,000 "
676,AdeleVEVO,"15,100,000","12,413,869,881",United Kingdom,GB,Music,"$21,200 ","$339,000 ","$254,300 ","$4,100,000 "
677,MoreAliA,"15,000,000","4,352,427,049",United Kingdom,GB,Games,"$62,700 ","$1,000,000 ","$753,000 ","$12,000,000 "
678,Chetan Monga Vlogs,"15,000,000","9,924,103,188",India,IN,People,"$28,400 ","$454,300 ","$340,700 ","$5,500,000 "
679,Little Angel - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"15,000,000","8,897,705,695",Brazil,BR,Education,"$36,400 ","$581,900 ","$436,400 ","$7,000,000 "
680,League of Legends,"15,000,000","7,159,750,970",United States,US,Games,"$10,800 ","$172,500 ","$129,400 ","$2,100,000 "
681,TheRichest,"15,000,000","2,730,879,024",United States,US,Games,$0 ,$0 ,$0 ,$0 
682,XpressTV,"15,000,000","4,008,801,873",Mexico,MX,Entertainment,"$8,500 ","$135,500 ","$101,600 ","$1,600,000 "
683,PlayStation,"15,000,000","4,741,434,420",United States,US,Games,"$10,400 ","$167,200 ","$125,400 ","$2,000,000 "
684,Kwebbelkop,"15,000,000","6,889,304,306",United States,US,Film,"$7,400 ","$118,900 ","$89,200 ","$1,400,000 "
685,Republic Bharat,"15,000,000","7,536,093,065",India,IN,News,$0 ,$4 ,$3 ,$48 
686,THE BROWN SIBLINGS,"15,000,000","8,658,553,456",India,IN,Entertainment,"$25,600 ","$409,400 ","$307,100 ","$4,900,000 "
687,Sony Music South,"15,000,000","9,978,734,160",India,IN,Music,"$60,500 ","$968,700 ","$726,600 ","$11,600,000 "
688,BigSchool,"15,000,000","9,996,133,066",unknown,unknown,Film,$0 ,$0 ,$0 ,$0 
689,Ray William Johnson,"15,000,000","10,239,836,582",United States,US,Comedy,"$78,200 ","$1,300,000 ","$938,600 ","$15,000,000 "
690,KOMPASTV,"15,000,000","11,827,310,821",Indonesia,ID,News,"$28,300 ","$452,300 ","$339,200 ","$5,400,000 "
691,ISSEI / ï¿½ï¿½ï¿½ï¿½,"15,000,000","13,562,853,889",Japan,JP,Comedy,"$70,600 ","$1,100,000 ","$847,100 ","$13,600,000 "
692,Zï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,"15,000,000","11,506,702,632",Brazil,BR,Music,"$45,700 ","$731,500 ","$548,600 ","$8,800,000 "
693,A2 Motivation by Arvind Arora,"15,000,000","8,932,038,210",India,IN,Entertainment,"$32,700 ","$522,900 ","$392,200 ","$6,300,000 "
694,50 Cent,"14,900,000","10,069,000,444",United States,US,Music,"$30,000 ","$479,200 ","$359,400 ","$5,800,000 "
695,MNCTV OFFICIAL,"14,900,000","8,074,260,978",Indonesia,ID,Entertainment,"$10,900 ","$174,300 ","$130,700 ","$2,100,000 "
696,ERB,"14,900,000","4,033,400,167",United States,US,Entertainment,"$2,800 ","$44,200 ","$33,100 ","$530,100 "
697,melanie martinez,"14,900,000","4,395,184,343",United States,US,Music,"$14,100 ","$225,400 ","$169,100 ","$2,700,000 "
698,iTownGamePlay *Terror&Diversiï¿½ï,"14,900,000","4,977,284,539",Spain,ES,Games,"$3,500 ","$55,400 ","$41,600 ","$665,200 "
699,ýýýýýýýýýýýý8 : Thai Ch8,"14,900,000","5,549,770,244",Thailand,TH,Entertainment,"$12,400 ","$198,200 ","$148,700 ","$2,400,000 "
700,ZutiGang,"14,900,000","15,913,320,995",unknown,unknown,People,"$86,700 ","$1,400,000 ","$1,000,000 ","$16,600,000 "
701,ýýýýýý,"14,900,000","439,098",Russia,RU,News,$2 ,$31 ,$23 ,$369 
702,TazerCraft,"14,900,000","5,956,193,599",Brazil,BR,Games,"$9,900 ","$159,100 ","$119,300 ","$1,900,000 "
703,Bayashi TV,"14,900,000","8,615,618,825",Japan,JP,Autos,$1 ,$10 ,$7 ,$119 
704,Fueled By Ramen,"14,800,000","13,356,517,783",United States,US,Entertainment,"$15,300 ","$244,800 ","$183,600 ","$2,900,000 "
705,CrashCourse,"14,800,000","1,833,519,700",United States,US,Education,"$1,800 ","$28,700 ","$21,500 ","$344,500 "
706,MattyBRaps,"14,800,000","3,587,576,784",United States,US,Music,"$5,700 ","$91,900 ","$68,900 ","$1,100,000 "
707,Lachlan,"14,800,000","5,269,059,435",Australia,AU,Games,"$5,300 ","$84,300 ","$63,200 ","$1,000,000 "
708,ýýýýýýýý ýýýýýýýý,"14,800,000","7,018,015,062",Ukraine,UA,Howto,"$11,800 ","$188,500 ","$141,400 ","$2,300,000 "
709,Meghan Trainor,"14,800,000","8,649,303,688",United States,US,Music,"$12,900 ","$206,600 ","$154,900 ","$2,500,000 "
710,Jorge & Mateus Oficial,"14,800,000","9,076,642,765",Brazil,BR,Music,"$22,000 ","$352,500 ","$264,400 ","$4,200,000 "
711,Major Lazer Official,"14,800,000","9,383,431,376",unknown,unknown,unknown,$0 ,$0 ,$0 ,$0 
712,Beast Philanthropy,"14,800,000","272,678,287",Germany,DE,Games,$9 ,$152 ,$114 ,"$1,800 "
713,Filaretiki,"14,800,000","15,788,208,522",United States,US,People,"$300,800 ","$4,800,000 ","$3,600,000 ","$57,800,000 "
714,5-Minute Crafts Recycle,"14,800,000","8,866,012,877",United States,US,Howto,"$13,300 ","$212,700 ","$159,500 ","$2,600,000 "
715,ýýýýýýýýýý ýýýýýýýýýýýý,"14,700,000","2,230,986,039",Saudi Arabia,SA,Entertainment,$673 ,"$10,800 ","$8,100 ","$129,300 "
716,Maha Fun Tv,"14,700,000","1,321,380,490",United States,US,Entertainment,"$1,200 ","$19,100 ","$14,300 ","$229,500 "
717,Canal Nostalgia,"14,700,000","1,506,796,393",Spain,ES,Entertainment,$57 ,$906 ,$679 ,"$10,900 "
718,The Slow Mo Guys,"14,700,000","2,465,473,772",United States,US,Education,"$4,700 ","$75,900 ","$56,900 ","$911,000 "
719,StudyIQ IAS,"14,700,000","4,029,253,667",India,IN,Education,"$18,600 ","$297,900 ","$223,400 ","$3,600,000 "
720,Chad Wild Clay,"14,700,000","6,751,985,988",United States,US,Entertainment,"$9,100 ","$145,400 ","$109,000 ","$1,700,000 "
721,CollegeHumor,"14,700,000","7,255,848,125",United States,US,Comedy,$0 ,$0 ,$0 ,$0 
722,Netflix Jr.,"14,700,000","8,882,319,696",United States,US,Education,"$19,900 ","$317,600 ","$238,200 ","$3,800,000 "
723,Colors Rishtey,"14,700,000","12,362,331,529",India,IN,Entertainment,"$86,900 ","$1,400,000 ","$1,000,000 ","$16,700,000 "
724,ABC News,"14,700,000","12,961,669,452",United States,US,News,"$46,400 ","$742,800 ","$557,100 ","$8,900,000 "
725,Camila Loures,"14,700,000","4,684,983,333",Brazil,BR,Entertainment,"$10,200 ","$163,900 ","$122,900 ","$2,000,000 "
726,Doc Tops,"14,600,000","2,613,197,447",Ecuador,EC,Entertainment,"$4,100 ","$65,600 ","$49,200 ","$787,600 "
727,Auron,"14,600,000","3,337,074,920",Spain,ES,Games,"$15,100 ","$242,300 ","$181,700 ","$2,900,000 "
728,Jesser,"14,600,000","3,603,556,207",United States,US,Entertainment,"$23,100 ","$370,400 ","$277,800 ","$4,400,000 "
729,Planeta das Gï¿½ï¿½,"14,600,000","4,622,581,344",Brazil,BR,Entertainment,"$2,600 ","$42,200 ","$31,600 ","$506,300 "
730,PrestonPlayz,"14,600,000","5,766,647,017",United States,US,Entertainment,"$37,900 ","$606,800 ","$455,100 ","$7,300,000 "
731,Martin Garrix,"14,600,000","6,017,932,195",United States,US,Music,"$8,900 ","$142,100 ","$106,600 ","$1,700,000 "
732,O Reino Infantil,"14,600,000","11,182,302,317",Brazil,BR,Music,"$27,500 ","$439,500 ","$329,600 ","$5,300,000 "
733,Fifth Harmony,"14,600,000","7,952,268,926",United States,US,Music,"$9,400 ","$150,500 ","$112,900 ","$1,800,000 "
734,Mis Pastelitos,"14,600,000","2,750,902,766",Mexico,MX,Music,"$12,700 ","$202,700 ","$152,000 ","$2,400,000 "
735,Noman Official,"14,600,000","5,525,773,746",India,IN,Film,"$34,800 ","$556,500 ","$417,300 ","$6,700,000 "
736,LEGENDA FUNK,"14,500,000","2,440,718,089",Brazil,BR,Music,$0 ,$0 ,$0 ,$0 
737,Like Nastya Stories,"14,500,000","6,944,967,581",United States,US,Entertainment,"$7,500 ","$119,800 ","$89,800 ","$1,400,000 "
738,les boys tv2,"14,500,000","4,577,292,740",United States,US,Film,$112 ,"$1,800 ","$1,300 ","$21,600 "
739,Lotus Music,"14,500,000","1,739,129,375",India,IN,Tech,"$5,800 ","$92,100 ","$69,100 ","$1,100,000 "
740,IDEIAS INCRï¿½ï¿½,"14,500,000","3,551,889,957",Brazil,BR,Howto,$709 ,"$11,400 ","$8,500 ","$136,200 "
741,Reaction Time,"14,500,000","4,260,187,928",United States,US,Entertainment,"$2,500 ","$39,600 ","$29,700 ","$475,700 "
742,BBC News,"14,500,000","4,598,387,043",United Kingdom,GB,News,"$16,600 ","$265,100 ","$198,800 ","$3,200,000 "
743,Eli Kids - Cartoons & Songs,"14,500,000","4,821,183,481",United States,US,Music,"$37,300 ","$597,000 ","$447,700 ","$7,200,000 "
744,Boram Tube ToysReview [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,"14,500,000","5,014,888,374",South Korea,KR,People,"$1,200 ","$19,800 ","$14,900 ","$238,100 "
745,Aadishakti Films,"14,500,000","6,290,721,701",India,IN,Music,"$12,100 ","$193,800 ","$145,300 ","$2,300,000 "
746,Telemundo,"14,500,000","8,582,696,157",United States,US,Entertainment,"$12,100 ","$193,100 ","$144,900 ","$2,300,000 "
747,GMM25Thailand,"14,500,000","9,383,692,066",Thailand,TH,Entertainment,"$11,400 ","$182,500 ","$136,900 ","$2,200,000 "
748,TV9 Bharatvarsh,"14,500,000","10,303,519,926",India,IN,News,"$104,600 ","$1,700,000 ","$1,300,000 ","$20,100,000 "
749,Maroon5VEVO,"14,500,000","20,042,571,499",United States,US,Music,"$24,500 ","$392,700 ","$294,600 ","$4,700,000 "
750,Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,"14,500,000","4,315,486,422",Morocco,MA,Music,"$9,400 ","$150,300 ","$112,700 ","$1,800,000 "
751,Hear This Music,"14,500,000","9,201,428,420",unknown,unknown,Music,"$12,000 ","$192,800 ","$144,600 ","$2,300,000 "
752,Lilly Singh,"14,500,000","3,517,662,420",Canada,CA,Comedy,"$1,300 ","$21,300 ","$16,000 ","$255,800 "
753,ýýýýýýýýýýýýýýýýýýýýý,"14,400,000","600,154,268",South Korea,KR,Entertainment,$342 ,"$5,500 ","$4,100 ","$65,700 "
754,Gyan Gamingï¿½,"14,400,000","2,224,121,890",India,IN,Games,"$3,500 ","$55,600 ","$41,700 ","$666,800 "
755,Drawblogs,"14,400,000","1,629,801,448",Peru,PE,Entertainment,$251 ,"$4,000 ","$3,000 ","$48,100 "
756,NOBRU,"14,400,000","351,763,324",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
757,ýýýýýýýýýýýý ýýýýýýýýýýýý I ýýýýýý ýý ýýýýýýýýýý,"14,400,000","2,972,474,215",Saudi Arabia,SA,Entertainment,"$1,200 ","$18,700 ","$14,000 ","$224,300 "
758,Cyprien,"14,400,000","3,086,254,545",France,FR,Comedy,"$2,900 ","$45,700 ","$34,300 ","$548,000 "
759,Rclbeauty101,"14,400,000","3,900,312,631",United States,US,Entertainment,"$2,200 ","$34,500 ","$25,900 ","$414,500 "
760,Coke Studio,"14,400,000","4,035,738,731",United States,US,Music,$889 ,"$14,200 ","$10,700 ","$170,700 "
761,Indore Physical Academy,"14,400,000","4,156,427,797",India,IN,People,"$17,600 ","$281,600 ","$211,200 ","$3,400,000 "
762,Rosanna Pansino,"14,400,000","4,597,228,794",United States,US,Howto,"$6,700 ","$106,700 ","$80,000 ","$1,300,000 "
763,Harry Styles,"14,400,000","5,689,224,452",United States,US,Games,$0 ,$0 ,$0 ,$0 
764,Vlad and Niki PRT,"14,400,000","6,543,282,459",United States,US,Entertainment,"$10,000 ","$160,400 ","$120,300 ","$1,900,000 "
765,RS 1313 SHORTS,"14,400,000","8,011,977,288",India,IN,Entertainment,"$53,200 ","$850,600 ","$637,900 ","$10,200,000 "
766,Zig & Sharko,"14,400,000","9,023,952,946",unknown,unknown,Film,"$15,700 ","$250,800 ","$188,100 ","$3,000,000 "
767,SelenaGomezVEVO,"14,400,000","11,423,792,969",United States,US,Music,"$22,200 ","$354,600 ","$266,000 ","$4,300,000 "
768,ZEE5,"14,400,000","18,515,587,421",India,IN,Entertainment,"$37,400 ","$599,200 ","$449,400 ","$7,200,000 "
769,Super Polina,"14,300,000","4,776,507,159",United States,US,Entertainment,$103 ,"$1,700 ","$1,200 ","$19,900 "
770,Rebecca Zamolo,"14,300,000","6,388,439,235",United States,US,Entertainment,$0 ,$0 ,$0 ,$0 
771,Wish 107.5,"14,200,000","6,048,517,979",Philippines,PH,Music,"$15,700 ","$250,600 ","$188,000 ","$3,000,000 "
772,Invento na Hora,"14,200,000","4,040,297,006",Brazil,BR,Entertainment,"$4,800 ","$76,100 ","$57,100 ","$913,400 "
773,SIS vs BRO,"14,200,000","6,973,932,553",Ukraine,UA,Entertainment,$0 ,$0 ,$0 ,$5 
774,NikkieTutorials,"14,200,000","1,778,318,927",Netherlands,NL,Entertainment,"$9,000 ","$143,700 ","$107,800 ","$1,700,000 "
775,TommyInnit,"14,200,000","2,084,791,147",United Kingdom,GB,Games,"$13,600 ","$217,200 ","$162,900 ","$2,600,000 "
776,E-MasterSensei,"14,200,000","3,920,559,552",Mexico,MX,Games,"$11,100 ","$178,300 ","$133,700 ","$2,100,000 "
777,infobells - Kannada,"14,200,000","6,554,000,320",India,IN,Education,"$35,400 ","$566,800 ","$425,100 ","$6,800,000 "
778,Crazy Frog,"14,200,000","7,946,322,061",unknown,unknown,Games,$0 ,$0 ,$0 ,$0 
779,The Dodo,"14,200,000","9,964,116,817",unknown,unknown,unknown,$2 ,$29 ,$22 ,$346 
780,SEVENGERS,"14,200,000","10,238,593,147",India,IN,Comedy,"$92,000 ","$1,500,000 ","$1,100,000 ","$17,700,000 "
781,Zee Bangla,"14,200,000","11,428,794,827",India,IN,Entertainment,"$15,000 ","$239,700 ","$179,800 ","$2,900,000 "
782,DangMattSmith,"14,200,000","3,317,805,543",United States,US,Entertainment,"$3,200 ","$51,600 ","$38,700 ","$619,300 "
783,Neha Kakkar,"14,100,000","2,131,548,711",India,IN,Music,"$6,400 ","$102,400 ","$76,800 ","$1,200,000 "
784,#Refugio Mental,"14,100,000","3,594,936,775",unknown,unknown,Entertainment,"$1,700 ","$27,800 ","$20,800 ","$333,200 "
785,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,"14,100,000","3,920,221,322",unknown,unknown,unknown,$5 ,$81 ,$61 ,$977 
786,Trap City,"14,100,000","5,129,529,846",Australia,AU,People,$0 ,$1 ,$0 ,$7 
787,Supercar Blondie,"14,100,000","5,405,563,355",United Arab Emirates,AE,Autos,"$88,300 ","$1,400,000 ","$1,100,000 ","$17,000,000 "
788,Yudist Ardhana,"14,100,000","6,036,496,916",Indonesia,ID,Entertainment,"$44,000 ","$704,200 ","$528,200 ","$8,500,000 "
789,Lana Del Rey,"14,100,000","6,884,215,292",United States,US,Music,"$33,900 ","$542,300 ","$406,700 ","$6,500,000 "
790,MalumaVEVO,"14,100,000","19,013,942,981",United States,US,Music,"$24,700 ","$395,300 ","$296,500 ","$4,700,000 "
791,F2Freestylers - Ultimate Soccer Skills Channel,"14,100,000","3,280,481,927",United Kingdom,GB,Sports,"$2,600 ","$40,900 ","$30,700 ","$490,600 "
792,Bie The Ska,"14,100,000","4,627,069,704",Thailand,TH,Entertainment,"$3,100 ","$50,000 ","$37,500 ","$600,100 "
793,AM3NlC,"14,000,000","4,959,982,720",Brazil,BR,People,"$2,600 ","$40,800 ","$30,600 ","$490,100 "
794,Narins Beauty,"14,000,000","2,214,167,846",Sweden,SE,Entertainment,"$3,400 ","$54,800 ","$41,100 ","$658,000 "
795,TV Ana Emilia,"14,000,000","4,674,164,601",Mexico,MX,Entertainment,"$6,700 ","$107,100 ","$80,300 ","$1,300,000 "
796,ýýýýýýýýýýýý,"14,000,000","7,719,743,112",Russia,RU,Games,"$37,600 ","$602,300 ","$451,700 ","$7,200,000 "
797,Luli Pampï¿½,"14,000,000","8,623,705,301",Spain,ES,Music,"$50,400 ","$806,600 ","$605,000 ","$9,700,000 "
798,Gallina Pintadita,"14,000,000","9,660,950,823",Mexico,MX,Film,"$17,700 ","$282,500 ","$211,900 ","$3,400,000 "
