rank,Youtuber, subscribers , video views ,Country,Abbreviation,channel_type,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
270,Venus Entertainment,"23,800,000","5,663,125,358",unknown,unknown,Entertainment,$8 ,$127 ,$95 ,"$1,500 "
271,Troom Troom,"23,800,000","10,414,479,943",United States,US,Howto,"$24,500 ","$392,200 ","$294,200 ","$4,700,000 "
272,Enrique Iglesias,"23,800,000","17,688,774,915",United States,US,Music,"$30,700 ","$491,700 ","$368,700 ","$5,900,000 "
273,Ninja,"23,700,000","2,543,809,954",United States,US,Games,"$2,100 ","$33,500 ","$25,100 ","$401,700 "
274,FaZe Rug,"23,700,000","7,451,792,132",Canada,CA,Games,$0 ,$0 ,$0 ,$0 
275,Mister Max,"23,700,000","15,510,153,803",United Kingdom,GB,Entertainment,"$8,200 ","$131,300 ","$98,400 ","$1,600,000 "
276,That Little Puff,"23,700,000","20,289,689,389",United States,US,Animals,"$188,800 ","$3,000,000 ","$2,300,000 ","$36,200,000 "
277,NickyJamTV,"23,600,000","15,901,824,841",unknown,unknown,Music,"$19,500 ","$311,700 ","$233,800 ","$3,700,000 "
278,Juan De Dios Pantoja,"23,600,000","2,135,644,776",Mexico,MX,People,"$11,700 ","$187,400 ","$140,600 ","$2,200,000 "
279,Logan Paul,"23,600,000","5,994,002,464",United States,US,Entertainment,"$2,700 ","$43,200 ","$32,400 ","$518,600 "
280,Maya and Mary,"23,600,000","6,766,461,070",United States,US,Entertainment,"$11,100 ","$178,200 ","$133,600 ","$2,100,000 "
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"23,600,000","7,920,637,200",United Kingdom,GB,Film,"$13,400 ","$214,400 ","$160,800 ","$2,600,000 "
282,Jelly,"23,500,000","14,777,034,543",United Kingdom,GB,Games,"$10,400 ","$166,700 ","$125,000 ","$2,000,000 "
283,Miss Katy,"23,500,000","14,696,994,366",United Kingdom,GB,Entertainment,"$14,900 ","$238,500 ","$178,900 ","$2,900,000 "
284,Tilak,"23,400,000","9,465,863,821",India,IN,Film,"$91,800 ","$1,500,000 ","$1,100,000 ","$17,600,000 "
285,Valentina Pontes ofc,"23,400,000","7,926,899,136",Brazil,BR,Entertainment,"$7,100 ","$113,100 ","$84,900 ","$1,400,000 "
286,Sesame Street,"23,300,000","22,471,357,411",United States,US,Entertainment,"$31,000 ","$496,700 ","$372,600 ","$6,000,000 "
287,Happy Lives,"23,200,000","2,634",United States,US,Entertainment,$0 ,$0 ,$0 ,$0 
288,Lady Gaga,"23,200,000","15,751,661,213",United States,US,Music,"$35,800 ","$572,700 ","$429,500 ","$6,900,000 "
289,Akshay Nagwadiya,"23,200,000","7,966,720,147",unknown,unknown,Entertainment,"$80,300 ","$1,300,000 ","$963,500 ","$15,400,000 "
290,Wave Music Bhojpuri,"23,100,000","12,889,240,875",India,IN,Music,"$13,200 ","$210,700 ","$158,000 ","$2,500,000 "
291,GMM GRAMMY OFFICIAL,"23,100,000","25,579,831,081",Thailand,TH,Music,"$32,600 ","$520,900 ","$390,700 ","$6,300,000 "
292,TED,"23,100,000","2,551,113,422",United States,US,Tech,"$3,300 ","$53,000 ","$39,700 ","$635,800 "
293,unknown boy varun,"23,100,000","9,299,371,231",India,IN,Music,"$76,000 ","$1,200,000 ","$912,100 ","$14,600,000 "
294,Kids TV - Nursery Rhymes And Baby Songs,"23,100,000","13,151,870,846",United States,US,Music,"$32,100 ","$513,800 ","$385,300 ","$6,200,000 "
295,Tsuriki Show,"23,000,000","31,494,513,067",Germany,DE,Comedy,"$189,200 ","$3,000,000 ","$2,300,000 ","$36,300,000 "
296,Technical Guruji,"23,000,000","3,378,047,383",India,IN,Tech,"$5,600 ","$89,000 ","$66,800 ","$1,100,000 "
297,DrossRotzank,"23,000,000","6,041,264,489",Argentina,AR,Entertainment,"$8,900 ","$142,200 ","$106,600 ","$1,700,000 "
298,White Hill Music,"23,000,000","10,939,966,484",India,IN,Music,"$23,300 ","$372,700 ","$279,500 ","$4,500,000 "
299,Ultra Movie Parlour,"22,900,000","5,320,485,069",India,IN,Film,$0 ,$0 ,$0 ,$0 
300,Alan Becker,"22,900,000","5,380,073,627",United States,US,Games,$0 ,$0 ,$0 ,$0 
301,toyorbabytv,"22,900,000","16,298,342,829",Jordan,JO,Music,"$42,300 ","$676,200 ","$507,200 ","$8,100,000 "
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,"22,900,000","13,206,471,140",Mexico,MX,Education,"$34,200 ","$547,300 ","$410,500 ","$6,600,000 "
303,KL BRO Biju Rithvik,"22,800,000","17,988,347,989",unknown,unknown,Entertainment,"$508,100 ","$8,100,000 ","$6,100,000 ","$97,600,000 "
304,Vania Mania Kids,"22,700,000","10,115,316,784",United States,US,Education,"$38,800 ","$620,900 ","$465,600 ","$7,500,000 "
305,Like Nastya PRT,"22,700,000","11,568,118,121",unknown,unknown,Entertainment,"$24,200 ","$386,500 ","$289,800 ","$4,600,000 "
306,Sun TV,"22,600,000","20,847,038,152",India,IN,Entertainment,"$245,600 ","$3,900,000 ","$2,900,000 ","$47,100,000 "
307,Heroindori,"22,600,000","9,223,534,599",India,IN,Entertainment,"$99,800 ","$1,600,000 ","$1,200,000 ","$19,200,000 "
308,The Chainsmokers,"22,600,000","14,231,943,358",United States,US,Music,"$20,400 ","$326,600 ","$245,000 ","$3,900,000 "
309,mmoshaya,"22,600,000","17,507,060,680",Saudi Arabia,SA,Entertainment,"$18,500 ","$295,300 ","$221,500 ","$3,500,000 "
310,Sia,"22,600,000","13,405,849,040",United States,US,Music,"$23,800 ","$381,000 ","$285,800 ","$4,600,000 "
311,LeoNata Family,"22,600,000","27,084,848,152",United States,US,People,"$293,500 ","$4,700,000 ","$3,500,000 ","$56,300,000 "
312,Goldmines Cineplex,"22,500,000","2,431,154,438",India,IN,Film,"$12,200 ","$195,000 ","$146,200 ","$2,300,000 "
313,Vlad and Niki Arabic,"22,500,000","10,613,701,948",United States,US,Entertainment,"$16,300 ","$260,300 ","$195,200 ","$3,100,000 "
314,SSundee,"22,500,000","13,835,173,331",United States,US,Games,"$43,800 ","$700,400 ","$525,300 ","$8,400,000 "
315,Paulo Londra,"22,400,000","8,040,036,209",Argentina,AR,Music,"$18,100 ","$289,000 ","$216,700 ","$3,500,000 "
316,Smile Family,"22,300,000","8,663,830,163",France,FR,Music,$0 ,$3 ,$2 ,$35 
317,FGTeeV,"22,300,000","24,059,336,857",United States,US,Games,"$33,000 ","$528,400 ","$396,300 ","$6,300,000 "
318,Kinder Spielzeug Kanal (Kidibli),"22,200,000","11,136,266,461",United States,US,Entertainment,"$34,800 ","$557,300 ","$418,000 ","$6,700,000 "
319,Charlie Puth,"22,000,000","9,924,807,127",United States,US,Music,"$27,900 ","$446,000 ","$334,500 ","$5,400,000 "
320,Vlad and Niki ESP,"22,000,000","8,594,440,895",United States,US,Entertainment,"$46,000 ","$735,500 ","$551,600 ","$8,800,000 "
321,Sagawa /ï¿½ï¿½ï¿½,"22,000,000","18,347,969,186",Japan,JP,Entertainment,"$177,800 ","$2,800,000 ","$2,100,000 ","$34,100,000 "
322,Ben Azelart,"21,900,000","4,454,917,643",United States,US,Entertainment,"$46,200 ","$739,800 ","$554,800 ","$8,900,000 "
323,Zach Choi ASMR,"21,900,000","5,918,314,128",United States,US,People,"$58,600 ","$936,900 ","$702,700 ","$11,200,000 "
324,Topper Guild,"21,900,000","15,552,070,846",United States,US,Comedy,"$171,800 ","$2,700,000 ","$2,100,000 ","$33,000,000 "
325,Disney Latinoamï¿½ï¿½,"21,900,000","20,657,571,751",Mexico,MX,Music,$1 ,$19 ,$14 ,$227 
326,Stokes Twins,"21,800,000","4,469,711,607",United States,US,People,"$49,500 ","$791,800 ","$593,900 ","$9,500,000 "
327,National Geographic,"21,800,000","5,614,621,131",United States,US,Entertainment,"$11,500 ","$183,200 ","$137,400 ","$2,200,000 "
328,Dua Lipa,"21,800,000","11,288,359,365",United Kingdom,GB,Music,"$32,000 ","$512,200 ","$384,100 ","$6,100,000 "
329,OneDirectionVEVO,"21,800,000","12,140,232,004",United Kingdom,GB,Music,"$12,800 ","$204,500 ","$153,400 ","$2,500,000 "
330,Rotana,"21,800,000","19,329,351,143",unknown,unknown,Music,$3 ,$42 ,$32 ,$507 
331,Netflix India,"21,800,000","7,780,934,187",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
332,Sourav Joshi Vlogs,"21,700,000","9,392,093,496",unknown,unknown,People,"$66,300 ","$1,100,000 ","$796,000 ","$12,700,000 "
333,ZAMZAM ELECTRONICS TRADING,"21,700,000","8,507,818,877",United Arab Emirates,AE,People,"$399,600 ","$6,400,000 ","$4,800,000 ","$76,700,000 "
334,DUDU e CAROL,"21,600,000","9,597,894,786",Brazil,BR,Entertainment,"$48,300 ","$772,700 ","$579,500 ","$9,300,000 "
335,Village Cooking Channel,"21,600,000","5,863,377,051",India,IN,Howto,"$48,700 ","$778,400 ","$583,800 ","$9,300,000 "
336,Eva Bravo Play,"21,600,000","9,346,383,505",United States,US,Entertainment,"$16,000 ","$255,700 ","$191,800 ","$3,100,000 "
337,Tekashi 6ix9ine,"21,500,000","5,890,180,734",United States,US,Music,"$28,400 ","$454,200 ","$340,600 ","$5,400,000 "
338,Tlnovelas,"21,500,000","15,013,096,899",Mexico,MX,Entertainment,$4 ,$62 ,$46 ,$742 
339,SMOL,"21,500,000","22,065,582,014",unknown,unknown,Music,$0 ,$0 ,$0 ,$0 
340,invictor,"21,500,000","8,409,641,722",Chile,CL,People,$0 ,$0 ,$0 ,$2 
341,YOLO,"21,400,000","1,573,058,816",Germany,DE,unknown,$0 ,$0 ,$0 ,$0 
342,Sidhu Moose Wala,"21,400,000","6,264,261,757",India,IN,Music,"$40,200 ","$642,800 ","$482,100 ","$7,700,000 "
343,The Royalty Family,"21,300,000","6,269,945,014",United States,US,People,"$40,100 ","$640,900 ","$480,700 ","$7,700,000 "
344,Becky G,"21,300,000","10,644,857,969",United States,US,Music,"$25,800 ","$412,700 ","$309,500 ","$5,000,000 "
345,Ishaan Ali 11,"21,300,000","12,761,253,839",India,IN,People,"$182,400 ","$2,900,000 ","$2,200,000 ","$35,000,000 "
346,Infinite,"21,300,000","5,141,834,668",United States,US,Entertainment,"$17,100 ","$273,400 ","$205,100 ","$3,300,000 "
347,Azhan5star,"21,300,000","10,047,736,580",India,IN,Entertainment,"$59,100 ","$945,200 ","$708,900 ","$11,300,000 "
348,Dangal TV Channel,"21,300,000","12,895,427,184",India,IN,Entertainment,"$140,300 ","$2,200,000 ","$1,700,000 ","$26,900,000 "
349,Khan GS Research Centre,"21,200,000","2,073,073,070",unknown,unknown,People,$0 ,$0 ,$0 ,$0 
350,GMA Public  Affairs,"21,200,000","11,364,908,616",Philippines,PH,News,"$35,600 ","$569,300 ","$427,000 ","$6,800,000 "
351,Tasty,"21,100,000","5,783,557,209",United States,US,Howto,"$6,200 ","$98,800 ","$74,100 ","$1,200,000 "
352,Baim Paula,"21,100,000","4,526,271,677",Indonesia,ID,Entertainment,"$6,700 ","$107,900 ","$80,900 ","$1,300,000 "
353,nigahiga,"21,000,000","4,380,564,906",United States,US,Entertainment,$619 ,"$9,900 ","$7,400 ","$118,900 "
354,Rafa & Luiz,"21,000,000","7,762,905,663",Brazil,BR,Entertainment,"$29,600 ","$473,600 ","$355,200 ","$5,700,000 "
355,Lyrical Lemonade,"21,000,000","10,631,638,628",United States,US,Entertainment,"$20,000 ","$320,200 ","$240,200 ","$3,800,000 "
356,Vlad and Niki IDN,"21,000,000","9,789,121,606",United States,US,Entertainment,"$33,300 ","$533,400 ","$400,100 ","$6,400,000 "
357,Dr. Vivek Bindra: Motivational Speaker,"20,900,000","1,693,149,479",India,IN,Education,"$7,100 ","$114,400 ","$85,800 ","$1,400,000 "
358,Fatos Desconhecidos,"20,900,000","3,828,000,587",Brazil,BR,Entertainment,"$13,100 ","$209,300 ","$157,000 ","$2,500,000 "
359,Brave Wilderness,"20,900,000","4,927,879,069",United States,US,Animals,$0 ,$0 ,$0 ,$0 
360,LIV Crime,"20,900,000","11,058,049,885",United States,US,People,"$95,900 ","$1,500,000 ","$1,200,000 ","$18,400,000 "
361,Minecraft - Topic,"20,900,000",unknown,unknown,unknown,Games,$0 ,$0 ,$0 ,$0 
362,Romeo Santos,"20,900,000","17,324,976,752",United States,US,Music,$0 ,$0 ,$0 ,$5 
363,Canal Canalha,"20,800,000","1,870,608,170",Brazil,BR,Comedy,"$6,000 ","$95,600 ","$71,700 ","$1,100,000 "
364,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,"20,800,000","2,378,448,129",Germany,DE,Education,"$7,300 ","$117,100 ","$87,800 ","$1,400,000 "
365,Yoeslan,"20,700,000","17,963,202,261",United States,US,Entertainment,"$218,700 ","$3,500,000 ","$2,600,000 ","$42,000,000 "
366,5-Minute Crafts DIY,"20,700,000","5,091,618,606",United States,US,Howto,"$5,000 ","$80,000 ","$60,000 ","$960,600 "
367,Zach King,"20,700,000","5,410,164,682",unknown,unknown,Entertainment,$0 ,$1 ,$0 ,$6 
368,tuzelity SHUFFLE,"20,700,000","8,658,941,531",Russia,RU,People,"$138,100 ","$2,200,000 ","$1,700,000 ","$26,500,000 "
369,NBA,"20,700,000","12,624,879,732",United States,US,Sports,"$18,300 ","$292,100 ","$219,100 ","$3,500,000 "
370,Deddy Corbuzier,"20,600,000","4,956,090,094",Indonesia,ID,Entertainment,$0 ,$0 ,$0 ,$4 
371,Bizarrap,"20,600,000","7,657,171,980",Argentina,AR,Entertainment,"$48,300 ","$772,700 ","$579,500 ","$9,300,000 "
372,Avicii,"20,600,000","10,292,874,715",Sweden,SE,Music,"$20,300 ","$324,900 ","$243,700 ","$3,900,000 "
373,Mnet K-POP,"20,500,000","15,038,593,883",South Korea,KR,Entertainment,"$39,600 ","$634,200 ","$475,600 ","$7,600,000 "
374,LazarBeam,"20,500,000","8,768,697,257",Australia,AU,Games,"$6,500 ","$104,300 ","$78,200 ","$1,300,000 "
375,Ninja Kidz TV,"20,500,000","11,009,148,579",United States,US,Entertainment,"$48,800 ","$780,800 ","$585,600 ","$9,400,000 "
376,Totoy kids - Portuguï¿½,"20,400,000","1,796,227,417",Brazil,BR,Film,"$9,900 ","$158,000 ","$118,500 ","$1,900,000 "
377,Jake Paul,"20,400,000","7,311,322,368",United States,US,People,"$3,700 ","$58,600 ","$43,900 ","$703,000 "
378,Linkin Park,"20,400,000","13,397,000,296",Afghanistan,AF,Games,$0 ,$0 ,$0 ,$0 
379,Vijay Television,"20,400,000","29,406,206,620",India,IN,Entertainment,"$226,900 ","$3,600,000 ","$2,700,000 ","$43,600,000 "
380,SlivkiShow,"20,400,000","4,707,412,332",Ukraine,UA,Entertainment,"$7,200 ","$116,000 ","$87,000 ","$1,400,000 "
381,Emiway Bantai,"20,400,000","3,579,555,124",India,IN,Music,"$10,300 ","$165,200 ","$123,900 ","$2,000,000 "
382,Got Talent Global,"20,300,000","2,441,288,701",United Kingdom,GB,Entertainment,"$21,600 ","$345,800 ","$259,400 ","$4,100,000 "
383,ýýýýýýýýýýýýýýý - Genevieve's Playhouse,"20,300,000","11,022,391,339",unknown,unknown,Education,"$17,900 ","$287,100 ","$215,300 ","$3,400,000 "
384,BabyBus - Cerita & Lagu Anak-anak,"20,300,000","11,819,051,552",Indonesia,ID,Education,"$28,200 ","$451,100 ","$338,300 ","$5,400,000 "
385,Ami Rodriguez,"20,200,000","2,951,914,200",Colombia,CO,Entertainment,"$66,000 ","$1,100,000 ","$791,600 ","$12,700,000 "
386,Noor Stars,"20,200,000","2,764,127,969",United Arab Emirates,AE,Entertainment,"$3,900 ","$62,200 ","$46,700 ","$746,700 "
